Character,Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
374,Iron Emmett,Night's Watch,,,,79.0,1,0,0,0,1,0,1
469,Lewys Piper,Lannister,,,,27.0,1,1,0,0,0,1,0
885,William Mooton,Tully,,,,14.0,1,1,0,0,0,1,0
778,Stygg,House Greyjoy,,,,37.0,1,0,0,1,0,0,0
666,Quhuru Mo,None,,,,27.0,1,0,0,1,0,1,0
194,Donnel Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0
780,Sybassion,None,,,,63.0,1,0,0,1,0,0,0
790,Tal Toraq,Targaryen,,,,70.0,1,0,0,0,0,0,1
503,Mago,None,,,,61.0,1,0,1,0,0,0,0
887,Willit,Lannister,,,,65.0,1,0,0,1,0,0,0
761,Skahaz mo Kandaq,None,,,,2.0,1,1,0,0,0,0,1
579,Mya Stone,Arryn,,,,34.0,0,0,1,0,0,1,0
886,Willis Wode,Arryn,,,,31.0,1,1,1,0,0,0,0
162,Daenerys Targaryen,House Targaryen,,,,3.0,0,1,1,1,1,0,1
644,Porther,House Stark,299.0,2.0,21.0,22.0,1,0,1,1,0,0,0
152,Cragorn,House Greyjoy,300.0,4.0,29.0,19.0,1,0,0,0,0,1,0
870,Waymar Royce,Night's Watch,297.0,1.0,0.0,0.0,1,1,1,0,0,0,0
765,Sour Alyn,None,,,,12.0,1,0,0,0,0,0,1
697,Rickard Ryswell,Stark,,,,20.0,1,1,0,0,0,0,1
111,Brown Bernarr,Night's Watch,299.0,3.0,33.0,23.0,1,0,0,1,1,0,0
226,Eleyna Westerling,Stark,,,,45.0,0,1,0,0,1,1,0
630,Patrek Mallister,Tully,,,,28.0,1,1,1,0,1,0,0
103,Boros Blount,Baratheon,,,,8.0,1,1,1,1,1,1,1
421,Joss Stilwood,Lannister,,,,,1,0,1,0,0,0,0
419,Josmyn Peckledon,Lannister,,,,65.0,1,0,0,1,1,1,1
586,Myrtle,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
119,Burton Crakehall,Lannister,299.0,2.0,7.0,55.0,1,1,1,1,0,0,0
53,Arwyn Frey,None,,,,49.0,0,1,0,0,1,0,0
151,Cotter Pyke,Night's Watch,,,,48.0,1,0,0,0,1,0,0
403,Jodge,House Lannister,,,,30.0,1,0,0,1,0,0,0
864,Wallen,Wildling,298.0,1.0,37.0,37.0,1,0,1,0,0,0,0
207,Drogo,Targaryen,298.0,1.0,64.0,3.0,1,1,1,0,0,0,0
785,Symon Stripeback,Targaryen,,,,70.0,1,0,0,0,0,0,1
739,Sallor,None,299.0,3.0,42.0,42.0,1,0,0,0,1,0,0
8,Aeron Greyjoy,House Greyjoy,,,,11.0,1,1,0,1,0,1,0
740,Samwell Tarly,Night's Watch,,,,70.0,1,1,1,1,1,1,1
36,Andrik,Greyjoy,,,,19.0,1,1,0,0,0,1,0
452,Lanna (Happy Port),None,,,,34.0,0,0,0,0,0,1,0
253,Fogo,None,298.0,1.0,61.0,46.0,1,1,1,0,0,0,0
303,Greydon Goodbrother,Greyjoy,,,,1.0,1,1,0,0,0,1,0
704,Robett Glover,Stark,,,,53.0,1,1,1,1,0,0,1
571,Mudge (miller),None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
623,Parmen Crane,Baratheon,,,,22.0,1,1,0,1,0,0,0
651,Pycelle,House Lannister,300.0,5.0,,20.0,1,0,1,1,1,1,1
660,Quaithe,None,,,,12.0,0,1,0,1,1,0,1
262,Gared,Night's Watch,297.0,1.0,1.0,0.0,1,0,1,0,0,0,0
610,Orton Merryweather,Lannister,,,,11.0,1,1,0,0,1,1,0
297,Grazdan mo Ullhor,None,299.0,3.0,27.0,27.0,1,1,0,0,1,0,0
414,Jonos Bracken,Tully,,,,28.0,1,1,1,0,1,0,1
150,Cortnay Penrose,Baratheon,299.0,2.0,42.0,31.0,1,1,0,1,0,0,0
723,Ronnel Harclay,Night's Watch,,,,48.0,1,1,0,0,1,0,0
640,Podrick Payne,Lannister,,,,62.0,1,1,1,1,1,1,0
811,Tion Frey,Lannister,299.0,3.0,20.0,20.0,0,1,0,0,1,0,0
550,Miklaz,None,,,,2.0,1,1,0,0,0,0,1
862,Walder Frey,None,,,,28.0,1,1,1,0,1,0,0
488,Luwin,House Stark,299.0,2.0,69.0,14.0,1,0,1,1,0,0,0
147,Conn,Lannister,298.0,1.0,62.0,42.0,1,0,1,0,0,0,0
146,Colen of Greenpools,House Baratheon,,,,22.0,1,1,0,1,0,0,0
896,Wylla Manderly,Stark,,,,19.0,0,1,0,0,0,0,1
850,Val,Wildling,,,,7.0,0,0,0,0,1,0,1
677,Ramsay Snow,None,,,,16.0,1,1,0,1,0,0,1
348,High Sparrow,None,,,,4.0,1,0,0,0,0,1,1
463,Leobald Tallhart,Stark,299.0,2.0,66.0,16.0,1,1,0,1,0,0,0
325,Hallis Mollen,Stark,,,,14.0,1,1,1,1,0,0,0
186,Dhazzar,None,,,,2.0,1,1,0,0,0,0,1
123,Byron,Arryn,,,,41.0,1,0,0,0,0,1,0
779,Styr,Wildling,300.0,3.0,26.0,7.0,1,1,0,0,1,0,0
608,Orell,Wildling,299.0,2.0,51.0,51.0,1,0,0,1,0,0,0
143,Cohollo,None,298.0,1.0,64.0,11.0,1,0,1,0,0,0,0
876,Wendello Qar Deeth,None,,,,40.0,1,1,0,1,0,0,0
197,Donnel Locke,Stark,299.0,3.0,51.0,25.0,1,1,0,1,1,0,0
609,Orphan Oss,Night's Watch,300.0,5.0,4.0,,1,0,0,0,1,0,1
279,Gevin Harlaw,Greyjoy,299.0,2.0,66.0,37.0,1,1,0,1,0,0,0
293,Gorold Goodbrother,Greyjoy,,,,1.0,1,1,0,0,0,1,0
400,Jhiqui,House Targaryen,,,,11.0,0,0,1,1,1,0,1
122,Byan Votyris,None,,,,54.0,1,0,1,0,0,0,0
183,Desmond Grell,Tully,,,,7.0,1,1,0,1,1,1,0
202,Doran Martell,Martell,,,,2.0,1,1,0,0,0,1,1
438,Khrazz,None,300.0,5.0,67.0,11.0,1,0,0,0,0,0,1
246,Ezzara,Targaryen,,,,30.0,0,0,0,0,0,0,1
415,Jorah Mormont,Targaryen,,,,23.0,1,1,1,1,1,0,1
816,Tomard,House Stark,298.0,1.0,49.0,22.0,1,0,1,0,0,0,0
810,Timon,Baratheon,,,,65.0,1,0,0,1,0,0,0
129,Cersei Frey,None,,,,49.0,0,1,0,0,1,0,0
637,Petyr Frey,None,300.0,3.0,,49.0,1,1,0,0,1,0,0
402,Jocelyn Swyft,Lannister,,,,3.0,0,1,0,0,0,1,1
813,Todder,Night's Watch,,,,19.0,1,0,1,0,1,0,1
706,Robin Moreland,Lannister,,,,16.0,1,1,0,0,0,1,0
834,Tyta Frey,None,,,,49.0,0,1,0,0,1,0,0
219,Edmure Tully,House Tully,,,,28.0,1,1,1,1,1,1,0
641,Polliver,None,300.0,3.0,27.0,26.0,1,0,0,1,1,0,0
836,Tytos Brax,Lannister,,,,63.0,1,1,1,1,0,0,0
688,Reek,None,299.0,2.0,35.0,16.0,1,0,0,1,0,0,0
839,Ulf son of Umar,Lannister,298.0,1.0,62.0,56.0,1,0,1,0,0,0,0
624,Patchface,Baratheon,,,,0.0,1,0,0,1,1,0,1
767,Spotted Cat,None,,,,11.0,1,0,0,0,0,0,1
696,Rickard Karstark,Stark,299.0,3.0,20.0,53.0,1,1,1,1,1,0,0
386,Jaqen H'ghar,None,,,,5.0,1,0,0,1,0,1,0
889,Willum,Tully,,,,43.0,1,0,1,0,0,0,0
509,Maric Seaworth,House Baratheon,299.0,2.0,58.0,10.0,1,1,0,1,0,0,0
267,Garse Goodbrook,None,299.0,3.0,,,1,1,0,0,1,0,0
751,Serra Frey,None,,,,49.0,0,1,0,0,1,0,0
441,Koss,Night's Watch,299.0,2.0,14.0,5.0,1,0,0,1,0,0,0
496,Lysono Maar,None,,,,24.0,1,0,0,0,0,0,1
112,Brusco,None,,,,22.0,1,0,0,0,0,1,1
691,Reznak mo Reznak,None,,,,2.0,1,1,0,0,0,0,1
232,Emmon Frey,Lannister,,,,29.0,1,1,1,0,0,1,0
795,Terrance Lynderly,Arryn,,,,41.0,1,1,0,0,0,1,0
607,Oppo,None,300.0,4.0,17.0,60.0,1,0,0,0,1,1,0
671,Ragnor Pyke,House Greyjoy,,,,29.0,1,0,0,0,0,1,0
373,Imry Florent,Baratheon,299.0,3.0,4.0,58.0,1,1,0,1,1,0,0
898,Wynafryd Manderly,Stark,,,,19.0,1,1,0,0,0,0,1
832,Tyrek Lannister,House Lannister,299.0,2.0,41.0,30.0,1,1,1,1,0,0,0
233,Emmond,Greyjoy,,,,1.0,1,0,0,0,0,1,0
720,Rolph Spicer,Lannister,,,,14.0,1,1,0,0,1,0,0
676,Ralf the Limper,Greyjoy,,,,18.0,1,0,0,0,0,1,1
317,Gynir,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
648,Prendahl na Ghezn,None,299.0,3.0,42.0,42.0,1,0,0,0,1,0,0
410,Jon Umber (Greatjon),Stark,,,,51.0,1,1,1,1,1,0,0
820,Tothmure,Lannister,299.0,2.0,64.0,30.0,1,0,0,1,0,0,0
709,Rodrik Harlaw,Greyjoy,,,,11.0,1,1,0,0,0,1,0
358,Hosteen Frey,None,,,,59.0,1,1,1,1,1,0,1
258,Frynne,Martell,,,,40.0,0,0,0,0,0,1,0
627,Pate (Night's Watch),Night's Watch,,,,60.0,1,0,1,0,0,0,0
632,Pello,None,,,,17.0,1,0,0,0,1,0,0
282,Gillam,None,,,,31.0,1,0,0,0,0,1,0
376,Ithoke,None,,,,11.0,1,0,0,0,0,0,1
384,Janna Tyrell,Tyrell,,,,6.0,0,1,0,0,1,1,0
224,Elder Brother,None,,,,31.0,1,0,0,0,0,1,0
899,Wynton Stout,Night's Watch,,,,41.0,1,0,0,0,1,0,0
746,Satin,Night's Watch,,,,6.0,1,0,0,1,1,0,1
472,Lollys Stokeworth,Lannister,,,,2.0,0,1,0,1,1,0,0
347,Heward,House Stark,298.0,1.0,35.0,35.0,1,0,1,0,0,0,0
505,Malliard,Lannister,,,,20.0,1,0,0,1,0,0,0
639,Pia,None,,,,30.0,0,0,0,1,0,1,0
904,Ygon Farwynd,Greyjoy,,,,19.0,1,1,0,0,0,1,0
848,Utherydes Wayn,Tully,,,,71.0,1,0,1,1,1,0,0
826,Tumberjon,Night's Watch,,,,0.0,1,0,0,0,1,0,0
619,Owen,Night's Watch,,,,55.0,1,0,0,0,1,0,1
781,Sybell Spicer,Lannister,,,,14.0,0,1,0,0,1,1,0
645,Poul Pemford,House Tully,299.0,2.0,39.0,39.0,1,0,0,1,0,0,0
774,Stevron Frey,Stark,299.0,2.0,35.0,59.0,1,1,1,1,0,0,0
556,Monster,Wildling,,,,33.0,1,0,0,0,1,1,1
875,Wendel Manderly,Stark,299.0,3.0,51.0,55.0,1,1,1,1,1,0,0
577,Murenmure,Greyjoy,,,,1.0,1,0,0,0,0,1,0
85,Benfrey Frey,None,299.0,5.0,51.0,51.0,1,1,0,0,1,0,0
242,Eroeh,Targaryen,298.0,1.0,68.0,61.0,1,0,1,0,0,0,0
698,Rickon Stark,House Stark,,,,7.0,1,1,1,1,0,0,0
159,Daario Naharis,Targaryen,,,,42.0,1,0,0,0,1,0,1
524,Maslyn,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
35,Andrey Dalt,Martell,,,,21.0,1,1,0,0,0,1,0
540,Mellei,House Martell,,,,40.0,0,0,0,0,0,1,0
170,Damon Vypren,None,,,,49.0,1,1,0,0,1,0,0
654,Pypar,Night's Watch,,,,19.0,1,0,1,0,1,1,1
783,Sylva Santagar,Martell,,,,21.0,0,1,0,0,0,1,0
842,Ulwyck Uller,Martell,,,,38.0,1,1,0,0,1,0,1
863,Walder Rivers,None,,,,35.0,1,1,0,0,1,1,0
733,Ryk,Wildling,,,,7.0,1,0,0,0,1,0,0
95,Black Bernarr,Night's Watch,,,,18.0,1,0,0,0,1,0,1
563,Morna White Mask,Wildling,,,,48.0,0,1,0,0,0,0,1
240,Erik Ironmaker,Greyjoy,,,,19.0,1,1,0,0,0,1,0
742,Sawane Botley,Greyjoy,299.0,4.0,18.0,1.0,1,1,0,0,0,1,0
574,Murch,Night's Watch,,,,9.0,1,0,0,1,0,0,0
690,Reysen,Night's Watch,,,,5.0,1,0,0,1,0,0,0
460,Lenwood Tawney,Greyjoy,,,,18.0,1,0,0,0,0,1,0
553,Mohor,None,298.0,1.0,31.0,31.0,1,1,1,0,0,0,0
801,Thistle,Wildling,300.0,5.0,0.0,0.0,0,0,0,0,0,0,1
206,Drennan,House Greyjoy,299.0,2.0,50.0,50.0,1,0,0,1,0,0,0
392,Jate,House Lannister,,4.0,44.0,44.0,1,0,0,0,0,1,0
397,Jeyne Westerling,Stark,,,,14.0,0,1,0,0,1,1,0
851,Varamyr,Wildling,300.0,5.0,0.0,15.0,1,0,0,0,1,0,1
217,Eddard Stark,House Stark,299.0,1.0,65.0,1.0,1,1,1,0,0,0,0
4,Aemon Costayne,Lannister,,,,,1,1,0,0,1,0,0
642,Pono,None,,,,68.0,1,1,1,0,0,0,0
819,Torrhen Karstark,Stark,298.0,1.0,63.0,53.0,1,1,1,0,0,0,0
612,Osha,House Stark,,,,37.0,0,0,1,1,0,0,0
738,Salladhor Saan,Baratheon,,,,0.0,1,1,0,1,1,0,0
546,Merrett Frey,None,300.0,3.0,,59.0,1,1,1,0,1,0,0
725,Roose Bolton,Stark,,,,33.0,1,1,1,1,1,0,1
683,Raymun Darry,Targaryen,298.0,1.0,55.0,16.0,1,1,1,0,0,0,0
98,Bloodbeard,None,,,,25.0,1,0,0,0,0,0,1
727,Rorge,None,300.0,4.0,37.0,1.0,1,0,0,1,1,1,0
573,Munciter,Lannister,,,,20.0,1,0,0,1,0,0,0
406,Jon Bettley,Lannister,,,,16.0,1,1,0,0,0,1,0
502,Mag Mar Tun Doh Weg,Wildling,300.0,3.0,64.0,15.0,1,1,0,0,1,0,0
47,Aron Santagar,Lannister,299.0,2.0,41.0,18.0,1,1,1,1,0,0,0
32,Amory Lorch,House Lannister,299.0,2.0,47.0,14.0,1,1,0,1,0,0,0
200,Dontos Hollard,None,300.0,3.0,61.0,57.0,1,1,1,1,1,0,0
134,Chett,Night's Watch,299.0,3.0,46.0,41.0,1,0,1,1,1,0,0
27,Alyn Stackspear,Lannister,,,,16.0,1,1,0,0,0,1,0
803,Thoros,None,,,,29.0,1,0,1,0,1,1,0
230,Elyas Willum,Baratheon,,,,22.0,1,1,0,1,0,0,0
489,Lyle Crakehall,Lannister,,,,12.0,1,1,0,0,0,1,0
772,Steelskin,None,,,,11.0,1,0,0,0,0,0,1
378,Jack Bulwer,Night's Watch,300.0,5.0,31.0,64.0,1,0,0,0,1,1,1
288,Godric Borrell,None,,,,9.0,1,1,0,0,0,0,1
418,Joseth,House Stark,,,,37.0,1,0,1,1,0,0,0
674,Ralf Kenning,Greyjoy,300.0,5.0,20.0,18.0,1,0,0,0,0,1,1
391,Jason Mallister,Stark,,,,28.0,1,1,1,0,1,0,0
592,Nolla,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
498,Mad Huntsman,None,,,,29.0,1,0,0,0,1,0,0
138,Clement Piper,Tully,,,,38.0,1,1,0,0,0,1,0
62,Balon Swann,Lannister,,,,29.0,1,1,1,1,1,1,1
471,Little Walder Frey,None,300.0,5.0,51.0,59.0,1,1,1,1,0,0,1
647,Praed,None,299.0,2.0,9.0,5.0,1,0,0,1,0,0,0
128,Cellador,Night's Watch,,,,48.0,1,0,1,0,1,0,1
893,Wyl (guard),House Stark,298.0,1.0,35.0,35.0,1,0,1,0,0,0,0
520,Martyn Rivers,None,,,,29.0,1,1,1,1,1,0,0
64,Barbrey Dustin,Stark,,,,26.0,0,1,0,0,0,0,1
14,Albar Royce,Arryn,,,,38.0,1,1,1,0,0,1,0
156,Cressen,Baratheon,299.0,1.0,0.0,0.0,1,0,0,1,0,0,0
40,Anya Waynwood,Arryn,,,,38.0,0,1,1,0,0,1,0
492,Lymond Lychester,Tully,,,,22.0,1,1,0,0,1,0,0
379,Jack-Be-Lucky,None,,,,17.0,1,0,0,0,1,1,0
187,Dick Crabb,None,300.0,4.0,20.0,9.0,1,0,0,0,0,1,0
763,Small Paul,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
216,Eddard Karstark,Stark,298.0,1.0,63.0,53.0,1,1,1,0,0,0,0
791,Tallad,Lannister,,,,17.0,1,0,0,1,1,1,0
52,Arthor Karstark,Stark,,,,62.0,1,1,0,0,0,0,1
337,Harwood Fell,House Baratheon,300.0,5.0,42.0,17.0,1,1,0,0,0,0,1
748,Sedgekins,None,,,,50.0,1,0,0,0,1,0,0
719,Rolly Duckfield,Targaryen,,,,8.0,1,0,0,0,0,0,1
724,Ronnet Connington,Baratheon,,,,22.0,1,1,0,1,0,1,1
295,Grazdan,None,299.0,3.0,27.0,27.0,1,1,0,0,1,0,0
701,Robb Stark,House Stark,299.0,3.0,51.0,1.0,1,1,1,1,1,0,0
251,Flement Brax,Lannister,,,,56.0,1,1,1,0,1,1,0
726,Roose Ryswell,None,,,,32.0,1,1,0,0,0,0,1
461,Leo Lefford,Lannister,299.0,2.0,45.0,62.0,1,1,1,1,0,0,0
455,Larraq,Targaryen,,,,59.0,1,0,0,0,0,0,1
913,Yurkhaz zo Yunzak,None,300.0,5.0,59.0,47.0,1,0,0,0,0,0,1
815,Tom of Sevenstreams,None,,,,13.0,1,0,0,0,1,1,0
269,Garth of Greenaway,Night's Watch,300.0,5.0,4.0,33.0,1,0,0,0,1,0,1
201,Donyse,None,,,,72.0,0,0,0,0,1,0,0
161,Daemon Sand,Martell,,,,38.0,1,0,0,0,1,0,1
555,Monford Velaryon,Baratheon,299.0,3.0,25.0,0.0,1,1,0,1,0,0,0
729,Rowan,Wildling,300.0,5.0,69.0,37.0,1,0,0,0,0,0,1
401,Jhogo,House Targaryen,,,,23.0,1,0,1,1,1,0,1
702,Robert Baratheon,House Baratheon,298.0,1.0,47.0,4.0,1,1,1,0,0,0,0
476,Lord of Bones,Wildling,300.0,5.0,10.0,68.0,1,1,0,1,1,0,1
821,Tregar,House Lannister,298.0,1.0,39.0,35.0,1,0,1,0,0,0,0
771,Stalwart Shield,Targaryen,300.0,5.0,2.0,2.0,1,0,0,0,0,0,1
105,Bowen Marsh,Night's Watch,,,,21.0,1,0,1,0,1,0,1
565,Morra,House Martell,,,,40.0,0,0,0,0,0,1,0
389,Jarl,Wildling,299.0,3.0,26.0,7.0,1,0,0,0,1,0,0
1,Aegon Frey (Jinglebell),None,299.0,3.0,51.0,49.0,1,1,0,0,1,0,0
880,Wilbert,Stark,298.0,3.0,29.0,29.0,1,0,0,0,1,0,0
561,Moreo Tumitis,None,,,,18.0,1,0,1,0,0,0,0
80,Ben,None,,,,37.0,1,0,0,0,0,1,0
205,Draqaz,None,,,,2.0,1,1,0,0,0,0,1
34,Andrew Estermont,Baratheon,,,,36.0,1,1,0,0,1,0,0
775,Stiv,Wildling,298.0,1.0,37.0,37.0,1,0,1,0,0,0,0
508,Mandon Moore,Baratheon,299.0,2.0,61.0,51.0,1,1,1,1,0,0,0
427,Jynessa Blackmont,Martell,,,,38.0,0,1,0,0,1,0,0
454,Larra Blackmont,Martell,,,,38.0,0,1,0,0,1,0,0
366,Hullen,House Stark,298.0,1.0,50.0,1.0,1,0,1,0,0,0,0
91,Bhakaz zo Loraq,None,,,,2.0,1,1,0,0,0,0,1
339,Harrion Karstark,Stark,,,,53.0,1,1,1,1,0,0,0
564,Moro,None,,,,3.0,1,1,1,0,0,0,0
345,Helman Tallhart,Stark,299.0,3.0,37.0,55.0,1,1,1,0,1,0,0
776,Stone Thumbs,Wildling,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
241,Ermesande Hayford,None,,,,2.0,0,1,0,1,1,1,0
13,Alayaya,None,,,,15.0,0,0,0,1,0,0,0
315,Gyles Grafton,Arryn,,,,41.0,1,1,0,0,0,1,0
600,Oberyn Martell,House Martell,300.0,3.0,70.0,38.0,1,1,0,0,1,0,0
387,Jared Frey,None,300.0,5.0,37.0,59.0,1,1,1,1,0,0,1
273,Gendry,None,,,,27.0,1,0,1,1,1,1,0
166,Dale Seaworth,Baratheon,299.0,2.0,58.0,10.0,1,1,0,1,0,0,0
840,Ulf the Ill,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
909,Young Henly,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
646,Poxy Tym,House Stark,299.0,2.0,69.0,16.0,1,0,0,1,0,0,0
818,Torrek,None,,,,42.0,1,0,1,0,0,0,0
484,Lucias Vypren,None,,,,49.0,1,1,0,0,1,0,0
897,Wyman Manderly,Stark,,,,16.0,1,1,0,1,0,0,1
504,Mallador Locke,Night's Watch,299.0,5.0,18.0,13.0,1,0,0,1,1,0,0
831,Tymor,House Greyjoy,299.0,2.0,66.0,37.0,1,0,0,1,0,0,0
243,Erreck,None,,,,12.0,1,0,0,0,1,0,0
566,Morrec,House Lannister,298.0,1.0,31.0,13.0,1,0,1,0,0,0,0
562,Morgarth,None,,,,41.0,1,0,0,0,0,1,0
686,Red Alyn,Night's Watch,300.0,3.0,69.0,55.0,1,0,0,0,1,0,0
189,Dickon Manwoody,Martell,,,,38.0,1,1,0,0,1,0,0
782,Sybelle Glover,Stark,,,,26.0,0,1,0,0,0,0,1
699,Rigney,None,,,,11.0,1,0,0,0,0,1,0
475,Lorcas,None,,,,45.0,1,0,0,0,0,1,0
681,Ravella Swann,Tully,,,,22.0,0,1,0,0,1,0,0
510,Marei,None,,,,29.0,0,0,0,1,0,0,0
58,Aurane Waters,Lannister,,,,65.0,1,0,0,1,0,1,0
474,Loras Tyrell,Tyrell,,,,18.0,1,1,1,1,1,1,0
560,Mordane,House Stark,298.0,1.0,67.0,7.0,0,0,1,0,0,0,0
856,Victarion Greyjoy,House Greyjoy,,,,24.0,1,1,0,1,0,1,1
747,Sawwood,Night's Watch,,,,0.0,1,0,0,0,1,0,0
252,Fletcher Will,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
21,Alla Tyrell,House Tyrell,,,,6.0,0,1,0,0,1,1,0
313,Gylbert Farwynd,Greyjoy,,,,19.0,1,1,0,0,0,1,0
459,Lennocks,None,,,34.0,34.0,1,0,0,0,1,0,0
160,Dacey Mormont,Stark,299.0,3.0,51.0,63.0,0,1,1,0,1,0,0
276,Gerold Dayne,Martell,,,,13.0,1,1,0,0,0,1,0
191,Dobber,None,299.0,2.0,14.0,5.0,1,0,0,1,0,0,0
385,Janos Slynt,None,300.0,5.0,7.0,27.0,1,1,1,1,1,0,1
805,Three-Tooth,Greyjoy,,,,11.0,0,0,0,0,0,1,0
413,Jonelle Cerwyn,Stark,,,,53.0,0,1,1,0,0,0,0
491,Lymond Goodbrook,Tully,,,,45.0,1,1,0,0,1,0,0
343,Harys Haigh,None,,,,64.0,1,1,0,1,1,0,0
769,Squint,House Greyjoy,299.0,2.0,50.0,50.0,1,0,0,1,0,0,0
308,Grunt,None,,,,12.0,1,0,0,0,0,0,1
661,Quaro,Targaryen,298.0,1.0,64.0,50.0,1,0,1,0,0,0,0
130,Cersei Lannister,House Lannister,,,,4.0,0,1,1,1,1,1,1
663,Quent,House Stark,,,,37.0,1,0,1,0,0,0,0
871,Wayn (guard),House Stark,,,,37.0,1,0,1,0,0,0,0
99,Blue Bard,House Tyrell,,,,12.0,1,0,0,0,0,1,0
372,Ilyn Payne,Lannister,,,,15.0,1,1,1,1,1,1,0
87,Bennet,None,300.0,4.0,31.0,31.0,1,0,0,0,0,1,0
458,Lem,None,,,,13.0,1,0,0,0,1,1,0
330,Harghaz,None,300.0,5.0,70.0,52.0,1,0,0,0,0,0,1
214,Easy,Night's Watch,300.0,3.0,55.0,55.0,1,0,0,0,1,0,0
466,Lew,House Stark,,,,7.0,1,0,1,0,0,0,0
121,Byam Flint,Night's Watch,299.0,3.0,33.0,33.0,1,0,0,0,1,0,0
614,Osney Kettleblack,Lannister,,,,41.0,1,1,0,1,1,1,0
20,Alia of Braavos,None,,,,28.0,0,0,1,0,0,0,0
700,Robar Royce,Baratheon,299.0,2.0,6.0,29.0,1,1,1,1,1,0,0
71,Bearded Ben,Night's Watch,,,,,1,0,0,0,0,1,0
106,Bran Stark,House Stark,,,,1.0,1,1,1,1,1,0,1
270,Garth of Oldtown,Night's Watch,299.0,3.0,33.0,33.0,1,0,0,0,1,0,0
860,Waif,None,,,,6.0,0,0,0,0,0,1,1
435,Kevan Lannister,House Lannister,300.0,5.0,,56.0,1,1,1,1,1,1,1
102,Boremund Harlaw,Greyjoy,,,,11.0,1,1,0,0,0,1,0
